CVEGEO,ndvi_2026,ndvi_2020,ndbi_2026,delta_ndvi
0900700010977,0.1302978540285138,0.12887874219536513,0.06140151837991833,0.0014191118331486618
0900700012475,0.053633915266107064,0.0626731298042689,0.08726722027248857,-0.009039214538161831
0901600011029,0.3397240800751704,0.3193941024447156,-0.09140535287402364,0.0203299776304548
0901600010317,0.3690726890348305,0.3291325921538114,-0.08333503461439629,0.03994009688101907
090100001128A,0.332835055028332,0.32262868116316645,-0.05336499672736103,0.010206373865165541
0901000011843,0.3659758737928037,0.360019280416543,-0.07173665061805204,0.005956593376260699
0901200010479,0.15001062232074497,0.13977365032762654,0.018779274833250925,0.010236971993118432
0901400010219,0.14687949584326576,0.1377955201235558,-0.0042029226043890765,0.009083975719709952
0901400010083,0.17420822124385846,0.1670245205214882,0.014993681950713048,0.007183700722370262
0901400010242,0.1719928124661257,0.1595682272303821,0.015989893718862096,0.01242458523574358
0901400010740,0.1889491097982634,0.19791196068638145,0.006303517616452452,-0.008962850888118046
0900200010504,0.15556143913919662,0.15396894533198296,0.029575843471400597,0.0015924938072136574
0900500010953,0.14186061174430142,0.14762861874540023,0.031244094204453288,-0.005768007001098807
090160001118A,0.1931897998068705,0.17955466951579083,-0.00976055642961956,0.013635130291079683
0901600011211,0.14895980822232593,0.13477028054227105,0.029527640795939718,0.01418952768005488
0901600010482,0.15698074280025115,0.14407526836762538,0.01783496602256366,0.012905474432625769
0901600010603,0.18642975069630618,0.17244721737816363,-0.007206808744124063,0.01398253331814256
0901600011207,0.19996673483310898,0.18168735258626026,0.002787131633432505,0.01827938224684872
0901500010856,0.1788597840109032,0.15679100855308836,0.0036891426729004895,0.022068775457814827
0900300011694,0.16595556676743756,0.17593270038903647,0.004731714333112048,-0.00997713362159891
0900300010234,0.20782286867913766,0.20681846495556303,0.007677022826160413,0.0010044037235746317
0900700010182,0.14786522874364272,0.13628757646304507,0.023231441156600786,0.01157765228059765
0901300010353,0.15760600758461943,0.16205235569138904,0.04547774603561985,-0.00444634810676961
0901000012362,0.1546362369406206,0.14487672103805574,0.03623785458293553,0.009759515902564853
0900800010194,0.1994159763852066,0.1939317072986629,0.01190831151699024,0.005484269086543703
090150001095A,0.18607623191901182,0.16209798118491786,-0.0004360182909257432,0.02397825073409396
0901500010625,0.1628129319087219,0.15205565710305752,0.04138840192573345,0.01075727480566438
0900700010375,0.15202938510927444,0.13944627331341442,0.027027629892756536,0.012583111795860025
090070001013A,0.14387062449133137,0.13398317767532317,0.04399297852646461,0.0098874468160082
0901200010074,0.2281692319312062,0.2315344200352401,0.0005640892482436059,-0.0033651881040339116
0901200012066,0.3009917469382022,0.3054273003221085,-0.031464539324613364,-0.004435553383906332
0901200012070,0.323019608590365,0.3591622576192312,0.021666820281946792,-0.036142649028866214
0901400010967,0.2123436187371987,0.20491296043302737,-0.05956034648051401,0.007430658304171334
0901600010853,0.3008281747046746,0.3089613904032791,-0.06639912876962036,-0.008133215698604479
0901600010868,0.30170209037412427,0.30856128638218977,-0.04837342940360785,-0.0068591960080655046
0900500012112,0.2454348379479718,0.25733771183515847,0.0034556666551884135,-0.011902873887186666
0900500013430,0.40454948315699907,0.39378003320345717,0.05019360086825411,0.010769449953541899
0900500013017,0.352093785023181,0.34443235118508003,0.03202554570380953,0.007661433838100973
0900800010461,0.2433499832471969,0.2570534892301377,0.021151546529474666,-0.013703505982940817
0901000011078,0.2395444808216379,0.23619012283044805,-3.954436239461318e-05,0.0033543579911898547
0901200010341,0.2895757773557633,0.31323307717512033,-0.01816053041506426,-0.023657299819357047
090020001003A,0.22683160848321907,0.21012443664064478,-0.007143409441447105,0.01670717184257428
0900500012536,0.3995373753420241,0.4016360759278597,0.04451054403473845,-0.002098700585835611
0901600010815,0.28027123884152433,0.286674014485533,-0.04901543315514834,-0.006402775644008651
0901300010029,0.31130016980748143,0.28047859901832123,-0.064244723700774,0.030821570789160202
0900800010137,0.22195329371853967,0.2121617146691488,0.000775108057402945,0.009791579049390875
1505700010512,0.2296235573414321,0.23995245231981185,0.0006188378175593774,-0.010328894978379743
1505700010508,0.25490763129825134,0.2588283400392613,-0.01564762332324403,-0.003920708741009971
0900600010467,0.2628838721479923,0.2722063066903502,-0.027046305493650204,-0.009322434542357871
0900700013365,0.13466587090379514,0.1284727011287336,0.06803104045434075,0.006193169775061541
0900600010414,0.09204558860706294,0.08605419735396497,0.05047760819500144,0.005991391253097972
090050001231A,0.13272819357900903,0.12932989878032614,0.040658106751073154,0.0033982947986828937
0900500012292,0.1346459165114557,0.13210343860832038,0.045024053045622646,0.002542477903135304
0900500012095,0.11096346631146237,0.10268490714237107,0.04871624360717802,0.008278559169091301
0900500012146,0.1344861072022205,0.13854075337352667,0.03286056111000895,-0.004054646171306159
0900500012150,0.13109204532245014,0.13313003865928566,0.037930593683832316,-0.0020379933368355196
0900500012235,0.11383529344193123,0.11640428800832933,0.04455496166518114,-0.0025689945663981
0900500011843,0.10896329106058018,0.09776238099687976,0.056140721081940397,0.011200910063700428
0900500011858,0.11552005142306156,0.10148165881198366,0.05067066647979484,0.014038392611077893
0900500011862,0.13106354556462957,0.10930571848193124,0.043167246685511085,0.021757827082698328
0900500011881,0.12763731425211736,0.12033332800460438,0.03784796794559087,0.007303986247512981
0900500011877,0.11769447687450585,0.11604185238819414,0.04594181535128175,0.0016526244863117046
0900500012131,0.11303899818000707,0.11110144244417908,0.05865469373095021,0.0019375557358279893
0900500012343,0.13982992339144454,0.13504758829971053,0.03736903254283115,0.004782335091734008
0900700013806,0.13576168896070542,0.14063933561346284,0.03746920407568176,-0.004877646652757417
0900500011646,0.0770115781455744,0.07210055452408518,0.04549283796589095,0.004911023621489222
0901000011152,0.348804050111338,0.3379857341651143,-0.04461849690438716,0.010818315946223733
0901200011960,0.5308528307868741,0.5538973919974053,-0.09547413777913898,-0.023044561210531223
0900300010018,0.49580076863764955,0.49057537236106763,-0.14779745136724018,0.005225396276581917
0901600010872,0.34776088841562997,0.35888286417935555,-0.06795193684553519,-0.011121975763725589
0900800010527,0.39743284380269833,0.38412745777230833,-0.09045904561926926,0.013305386030389998
090160001125A,0.3709423227645584,0.3619263366113248,-0.06399506654282255,0.009015986153233624
0901600010919,0.43040891727113645,0.4341818994068726,-0.09877177044164093,-0.003772982135736125
0901600010923,0.36820419744456523,0.36827538073850613,-0.07761893647925057,-7.118329394090184e-05
0901600011048,0.4001277882791858,0.3933378884271238,-0.0901838944152524,0.00678989985206202
0901600010904,0.367607619834735,0.3643513805824605,-0.07356609427383824,0.003256239252274473
090130001032A,0.346169168008712,0.3579108638340755,-0.055986002851591096,-0.011741695825363496
0900500011650,0.16969118423901022,0.1723181643138966,0.03944752518995755,-0.002626980074886376
0900500011896,0.13793683293705572,0.13746848750190857,0.039764422555060346,0.00046834543514714944
0900300010588,0.18727750355159767,0.18518793814334916,0.020001028240276077,0.002089565408248506
0901000011523,0.17026665091885215,0.15875929082050086,0.01566820937270157,0.011507360098351294
0900500013426,0.2139256591399547,0.22622748600380643,0.12645070962214516,-0.012301826863851728
0900500012574,0.24307145541982417,0.26681841900490016,0.11085608591358859,-0.023746963585075997
0900800010512,0.19989861596193267,0.19552224948786234,0.004785192103423169,0.004376366474070331
0900700013420,0.27860542027505203,0.2521790258085691,0.15923344030981204,0.026426394466482928
0900700015041,0.1779907294941748,0.17353456409293386,0.07018572537160625,0.004456165401240941
0901200010500,0.154751622958591,0.16768173275749923,0.04919109513525487,-0.01293010979890824
0900600010429,0.155917804110586,0.14072621841109204,0.041613327289481514,0.01519158569949397
0900600010433,0.1897269323765969,0.17258454460892614,0.010192072062769288,0.01714238776767077
0901700010916,0.17259897567254237,0.1618878319591069,0.007866502547016986,0.010711143713435484
0900500012324,0.18915865921484085,0.18518749088265157,0.015360160468387197,0.003971168332189273
0900500012080,0.1544350494567086,0.14712657050525443,0.03130469122822807,0.007308478951454173
0900500012254,0.13982804671826196,0.14346838914133023,0.03971827637281027,-0.0036403424230682657
0900500012127,0.14497081695682637,0.1449352893053998,0.03565730475572757,3.5527651426559004e-05
0900300011745,0.19042241508429478,0.18130543158316548,0.005293187286378132,0.0091169835011293
090030001022A,0.15001109104898616,0.15576188518050565,0.03508027375120653,-0.005750794131519493
0900700012831,0.17900467620351074,0.16172113279169892,-0.001893612449174122,0.01728354341181182
0901000011006,0.2636925180043221,0.25868250756143574,-0.020792872567973544,0.005010010442886348
